text
"What Decisions Should HPC Make So You Do Not Have To?, CCDSC, Lyon, France, September 2026 (invited by Turing Award winner Dr. Jack Dongarra)"
"AI Department, Brookhaven National Laboratory, New York, July 2026"
"From Modeling to Decision Intelligence: Learning to Navigate Power–Performance Trade-offs in HPC Systems, Women in HPC (WHPC) at the International Supercomputing Conference (ISC), Hamburg, Germany, June 2026"
"From Reactive Debugging to Proactive Detection: AI/ML for Performance-Aware Software Development, EuroPar; Monterey Data Conference (invite-only DOE workshop); PASC, Germany; Monterey, CA; Switzerland, June and August 2025"
"NSF/DOE Workshop on NAIRR Software, Lemont, IL, May 2025"
"Women in HPC Panel, San Diego Supercomputer Center panel at the International Conference for High Performance Computing, Networking, Storage and Analysis (SC), Atlanta, GA, November 2024"
"Reimagine Performance Modeling: Challenges and Opportunities with Generative AI, CCDSC, Lyon, France, September 2024 (invited by Turing Award winner Dr. Jack Dongarra)"
"Augmenting AMD's Omniperf with ML-based In-depth Influence Analysis for Explaining Performance Gap, Coral-2 Meeting at Lawrence Livermore National Laboratory (LLNL), Virtual, August 2024"
"Reimagine Performance Modeling: Challenges and Opportunities with Generative AI (expanded), GCLab, University of Tennessee, Knoxville, TN, 2024"
"Intelytics: An Efficient Data-Driven Decision-Making Engine for Performance In the Era of Heterogeneity, DOE ASCR PI Meeting, Atlanta, GA and Texas respectively, 2024 and 2025"
"SIAM Task Force on the Future of Computational Science, Washington, D.C., 2023"
"Building Your Research Brand, Rising Stars Panel at the University of Texas at Austin, Austin, TX, 2023"
"How to Apply to Graduate School: Things I Wish I Knew, Bangladesh University of Engineering and Technology (BUET), Virtual, September 2022"
"How to be a Great Mentor, Exascale Computing Project (ECP), Virtual, May 2022"
"Scalability Challenges and Opportunities for I/O Bound Applications, CHEOPS Workshop at EuroSys, Virtual, April 2022"
"Exascale Computing Project (ECP): Enabling Next-Generation of Hardware-Software Co-design using Data Science, Lawrence Livermore National Laboratory (LLNL), Virtual, March 2022"
"Invited Seminar, Sustainable Horizons Institute (SHI), Virtual, February 2022"
"Characterizing Performance of Workflow Applications, Brookhaven National Laboratory (BNL), Virtual, December 2021"
"Center of Excellence: Performance Characterization of Deep Learning Workloads, AMD, Austin, TX, December 2021"
"Enabling Next-Generation Software and Co-Design, AMD at Texas State University, San Marcos, TX, September 2021"
"HPC Enables Digitalization Panel, Digital 360 Summit, San Marcos, TX, September 2021"
"Careers in HPC Panel: Taking the Leap: Changing Careers, International Conference for High Performance Computing, Networking, Storage and Analysis (SC), Virtual, November 2020"
"May the HPC Force be with You!, Richard Tapia Celebration of Diversity in Computing, Virtual, October 2020 (organized a panel introducing undergraduate students from underserved and underrepresented communities to HPC)"
"Data-Driven Performance Modeling for HPC Co-design, AMD, Virtual, August 2020 (invited scholar's talk)"
"Dashing: An Interpretable Machine Learning Toolkit for Performance Analysis and Visualization, Exascale Computing Project Hackathon at Oak Ridge National Laboratory and Brookhaven National Laboratory, Virtual, August 2020"
"Scalable I/O Performance for Scientific Applications — Challenges and Potentials, NIMBioS Workshop on Scientific Collaboration Enabled by High Performance Computing, Knoxville, TN, May 2019"
"Understanding the Performance Portability Challenges and Opportunities using Machine Learning, Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA, December 2018"
"HPC for Undergraduates, International Conference for High Performance Computing, Networking, Storage and Analysis (SC), Dallas, TX, November 2018"
"Machine Learning Framework for Performance Coverage Analysis of Proxy Applications, The Platform for Advanced Scientific Computing Conference (PASC), ACM and the Swiss National Supercomputing Centre (CSCS), Basel, Switzerland, July 2018"
"How HPC Shaped My Career, International Conference for High Performance Computing, Networking, Storage and Analysis (SC), Austin, TX, November 2015"
"Proxy Application Validation using Machine Learning (Veritas), JOWOG-34, Sandia National Laboratories, Albuquerque, NM, February 2015"
"Opportunities after Graduate School, Spelman College, Atlanta, GA, January 2014"
