text
"IEEE Transactions on Parallel and Distributed Systems (TPDS), technical review board member, 2020-Present"
"Bangladeshi Women in Computer Science and Engineering (BWCSE), co-founder, 2014-Present"
"Association for Computing Machinery (ACM), member"
"Institute of Electrical and Electronics Engineers (IEEE), member"
